datetime,americano,cafelatte,cafemoca,caramelmatk,icedamericano,weather_avgtemp,weather_avgmoist,weather_avgwindspeed,weather_rain,weather_maxtemp,weather_maxwindspeed,weather_mintemp
2016-11-29,33.70651,23.87045,19.95201,35.02598,3.07876,1.17037037,53.97435897,0.911111111,0,7.590740741,2.57037037,-3.731481481
2016-11-30,48.86045,23.35065,21.31147,32.50699,3.51859,5.875925926,65.30769231,1.151851852,1.153703704,10.22777778,3.390740741,-0.737037037
2016-12-01,35.94562,22.39104,20.71171,29.54818,2.59896,4.824074074,48.92307692,2.596296296,0.055555556,8.431481481,5.95,-1.22037037
2016-12-02,34.78608,22.43102,18.39264,34.10635,2.39904,1.290740741,56.76923077,1.112962963,0,7.781481481,3.277777778,-4.146296296
2016-12-03,32.38704,24.91003,19.2323,32.82686,2.59896,3.666666667,68.41025641,0.866666667,0,10.33148148,2.32962963,-1.964814815
2016-12-04,33.34666,25.2299,23.15073,34.54618,3.31867,4.938888889,70.84615385,0.844444444,0,9.285185185,2.311111111,0.725925926
2016-12-05,36.7453,23.51059,19.63214,33.62654,3.15873,6.437037037,70.43589744,2.127777778,0.7,11.37777778,5.22037037,1.268518519
2016-12-06,33.42662,25.94962,22.83086,35.70571,3.31867,-0.67037037,42.30769231,1.77962963,0,4.018518519,4.37037037,-4.168518519
2016-12-07,38.06477,25.2299,21.15153,33.26669,3.39864,1.790740741,63.46153846,1.338888889,0.012962963,7.32037037,3.222222222,-3.533333333
2016-12-08,37.78488,24.2303,22.27109,36.54538,3.63854,2.074074074,77.43589744,1.122222222,3.57962963,6.587037037,3.153703704,-3.777777778
2016-12-09,33.02678,25.38984,21.63134,34.7461,2.83886,2.064814815,65.92307692,2.133333333,2.509259259,5.6,4.5,-2.488888889
2016-12-10,33.18672,25.86965,22.75089,32.94682,2.9988,-1.475925926,56.46153846,1.331481481,0,3.925925926,3.307407407,-5.77962963
2016-12-11,34.66613,26.06957,23.79048,37.34506,3.55857,-1.598148148,55,0.933333333,0,5.275925926,2.759259259,-6.694444444
2016-12-12,37.2251,25.42982,19.03238,34.42622,3.11875,1.694444444,51.475,1.001851852,0,6.772222222,2.624074074,-4.37037037
2016-12-13,36.26549,26.02958,22.67093,32.42702,2.95881,3.088888889,60.35,1.337037037,0,8.551851852,3.559259259,-1.07962963
2016-12-14,36.9852,25.38984,19.43222,34.50619,2.03918,-0.544444444,69.82051282,1.522222222,0.264814815,1.175925926,3.035185185,-2.32962963
2016-12-15,33.38664,22.71091,20.59176,34.06637,2.19912,-4.035185185,45.23076923,2.02962963,0,-0.459259259,4.183333333,-7.012962963
2016-12-16,32.06717,26.02958,22.07117,33.06677,2.35905,-4.212962963,47.56410256,1.388888889,0,0.566666667,3.909259259,-9.846296296
2016-12-17,28.90843,25.10995,18.59256,29.70811,1.9992,3.037037037,64.92307692,1.151851852,0,8.911111111,2.914814815,-2.340740741
2016-12-18,31.54738,23.27069,20.07197,32.9868,2.07916,5.074074074,73.53846154,1.212962963,0,8.318518519,3.057407407,1.855555556
2016-12-19,32.10715,24.67013,18.03278,31.78728,3.11875,6.885185185,75.63157895,1.246296296,0.275925926,11.86296296,3.022222222,3.07037037
2016-12-20,31.30747,23.15073,19.51219,32.06717,2.39904,6.377777778,78.5,0.864814815,0,12.88148148,2.609259259,2.435185185
2016-12-21,30.90763,21.15153,17.55297,32.66693,3.43862,7.679245283,80.86842105,1.739622642,30.70377358,13.2,4.658490566,1.803773585
2016-12-22,30.66773,21.19152,16.59336,28.82846,2.31907,6.288679245,87.97368421,2.664150943,21.51698113,12.14150943,5.494339623,2.628301887
2016-12-23,27.70891,21.87125,19.35225,29.2283,2.59896,-1.32037037,71,2.620754717,0.157407407,2.688888889,4.841509434,-2.975925926
2016-12-24,23.79048,19.75209,20.11195,28.38864,1.9992,-1.868518519,68.94871795,1.105555556,0,0.955555556,2.646296296,-3.985185185
2016-12-25,25.46981,20.9916,18.67253,27.82886,1.83926,0.707407407,77.02564103,0.924074074,0,6.287037037,2.337037037,-4.844444444
2016-12-26,27.02918,20.07197,16.07357,28.82846,2.75889,2.590740741,78.71794872,0.951851852,0.077777778,4.805555556,2.935185185,0.581481481
2016-12-27,31.42742,21.2315,17.75289,30.62774,2.75889,-1.27037037,56.84615385,2.483333333,0.12962963,2.27962963,5.064814815,-5.781481481
